http://brapi.biodata.pt/raiz/trait_DNA		'DNA'	'http://brapi.biodata.pt/raiz/trait_DNA'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_DNA_reads		'DNA_reads'	'http://brapi.biodata.pt/raiz/trait_DNA_reads'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Amylose%20content%20(%25)		'Amylose content (%)'	'http://brapi.biodata.pt/raiz/trait_Amylose%20content%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Protein%20content%20(%25)		'Protein content (%)'	'http://brapi.biodata.pt/raiz/trait_Protein%20content%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Fat%20content%20(%25)		'Fat content (%)'	'http://brapi.biodata.pt/raiz/trait_Fat%20content%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Fiber%20content%20(%25)		'Fiber content (%)'	'http://brapi.biodata.pt/raiz/trait_Fiber%20content%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Gelatinization%20Temperature%20(%C2%BAC)		'Gelatinization Temperature (ºC)'	'http://brapi.biodata.pt/raiz/trait_Gelatinization%20Temperature%20(%C2%BAC)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Viscosity%20Peak%20(cP)		'Viscosity Peak (cP)'	'http://brapi.biodata.pt/raiz/trait_Viscosity%20Peak%20(cP)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Setback%20(cP)		'Setback (cP)'	'http://brapi.biodata.pt/raiz/trait_Setback%20(cP)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Estimated%20glycemic%20index%20		'Estimated glycemic index '	'http://brapi.biodata.pt/raiz/trait_Estimated%20glycemic%20index%20'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Rapidly%20digestible%20starch%20(%25)		'Rapidly digestible starch (%)'	'http://brapi.biodata.pt/raiz/trait_Rapidly%20digestible%20starch%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Slowly%20digestible%20starch%20(%25)		'Slowly digestible starch (%)'	'http://brapi.biodata.pt/raiz/trait_Slowly%20digestible%20starch%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Resistant%20starch%20(%25)		'Resistant starch (%)'	'http://brapi.biodata.pt/raiz/trait_Resistant%20starch%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Total%20starch%20(%25)		'Total starch (%)'	'http://brapi.biodata.pt/raiz/trait_Total%20starch%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_kinetic%20constant%20of%20starch%20hydrolysis%20RVA		'kinetic constant of starch hydrolysis RVA'	'http://brapi.biodata.pt/raiz/trait_kinetic%20constant%20of%20starch%20hydrolysis%20RVA'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Cooked%20water%20uptake%20(%25)		'Cooked water uptake (%)'	'http://brapi.biodata.pt/raiz/trait_Cooked%20water%20uptake%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Cooked%20volumetric%20expansion%20ratio%20(ratio)		'Cooked volumetric expansion ratio (ratio)'	'http://brapi.biodata.pt/raiz/trait_Cooked%20volumetric%20expansion%20ratio%20(ratio)'	'trait'	'Attribute|Entity|NamedThing|Trait'
http://brapi.biodata.pt/raiz/trait_Cooked%20solids%20leached%20(%25)		'Cooked solids leached (%)'	'http://brapi.biodata.pt/raiz/trait_Cooked%20solids%20leached%20(%25)'	'trait'	'Attribute|Entity|NamedThing|Trait'
